run_id,label,test_grid_purchase_cost_mean,test_return_mean,test_soc_violation_mean,critic_loss,t_max,action_bins,lr,critic_lr
24,Reward shaping v2,299606.7918156119,-451.2775247500821,54.29179597895707,376.2952880859375,160000,11,0.0025,0.0005
25,Reward rollback 160k,312207.19599043654,-313.2193000784736,40.58637470455586,2837.1826171875,160000,11,0.0025,0.0005
27,Stable train 160k,301046.4386462194,-302.1090358907321,40.41637851093396,179.5814208984375,160000,7,0.0005,0.0002
28,Stable train 400k,312345.56003947154,-313.14297759534884,30.320793480566202,150.3848419189453,400000,7,0.0005,0.0002
29,Current rerun 160k,315866.8799589294,-316.59571279401393,28.462285388275795,382.5999450683594,160000,7,0.0005,0.0002
