0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,17.05,50.15,77.73,88.12,85.44,79.77,58.87,34.94,9.35,0.20,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75,23.41,49.29,71.05,71.80,71.80,63.39,52.65,30.38,9.72,0.24,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.77,28.58,67.23,89.55,100.51,96.17,81.70,60.84,34.23,8.74,0.13,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.15,25.43,49.12,68.82,70.13,74.63,64.38,51.99,34.02,8.90,0.15,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,24.89,49.70,68.72,75.33,66.56,57.53,46.71,29.16,8.03,0.18,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.19,18.20,47.97,76.63,75.30,61.61,58.34,44.04,32.14,10.81,0.32,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.69,20.24,45.84,62.51,73.45,79.30,72.72,56.32,33.47,10.65,0.37,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,25.00,58.99,87.92,84.66,88.69,75.36,55.25,30.32,8.68,0.25,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44,25.14,62.33,83.27,97.74,86.45,72.80,55.70,33.71,11.39,0.40,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.12,27.29,65.39,89.65,98.21,98.02,82.93,62.82,35.88,10.97,0.36,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,30.57,61.81,83.35,91.68,83.59,64.75,49.03,32.19,9.57,0.24,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,18.91,46.60,65.82,83.93,74.88,69.05,52.56,31.11,9.87,0.39,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.83,30.13,57.97,77.26,87.67,83.60,70.65,46.32,24.56,4.90,0.05,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,19.28,55.58,81.04,92.52,84.46,78.39,47.86,25.67,7.74,0.42,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,17.57,52.06,74.62,75.13,64.26,56.93,39.06,15.20,2.81,0.13,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,17.01,43.30,58.90,68.42,61.02,66.04,40.20,16.80,4.53,0.35,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.72,27.68,68.12,76.69,76.52,79.06,63.78,43.74,29.54,12.22,1.04,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,14.96,29.30,55.20,69.71,51.99,50.48,43.24,20.75,8.63,0.55,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,30.54,51.52,59.59,65.31,60.09,52.74,39.32,23.07,6.25,0.23,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,15.46,33.34,45.59,54.24,56.58,45.72,30.43,22.38,7.52,0.34,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.43,12.93,27.42,41.50,60.08,48.00,37.73,30.38,19.04,5.92,0.45,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,23.91,56.65,74.51,87.95,76.23,70.36,62.41,42.25,15.73,1.53,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.27,26.62,61.82,76.28,85.36,89.00,78.00,65.15,42.79,17.67,1.80,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89,33.28,73.59,82.43,84.94,83.85,79.81,67.93,43.92,16.80,1.74,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,19.26,43.48,68.40,70.04,68.35,61.04,52.76,37.68,15.50,1.65,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,28.28,66.42,76.58,95.55,89.74,89.36,67.47,46.13,17.70,1.79,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,12.45,34.62,44.16,47.77,54.64,43.64,31.74,15.13,5.47,0.32,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,4.72,14.81,26.16,30.22,32.20,31.84,23.76,10.49,2.41,0.17,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,8.24,29.76,34.99,39.42,45.71,46.39,39.36,30.02,12.42,1.66,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,24.67,47.24,59.39,56.86,57.48,56.71,41.90,35.47,12.99,1.98,0.00,0.00,0.00,0.00,0.00
